genes	logFC	logCPM	LR	PValue	FDR
Bra033316	8.85913523393481	5.3028877138315	1113.90135453131	3.14428462403987e-244	1.03091659968395e-239
Bra040628	8.92017450546306	4.52202029739108	1111.21451367321	1.20638354863207e-243	1.97768487044998e-239
Bra040221	5.77422600027041	5.61848581374621	1085.05758605425	5.84188831932025e-238	6.3845997441851e-234
Bra006384	9.40167576468131	4.50902094077106	1078.26190770559	1.75217631466034e-236	1.43621512071921e-232
Bra038030	7.93515034479729	4.89853320936279	1056.72652735602	8.40037913713672e-232	5.50846461538603e-228
Bra040132	9.09912417187622	4.70021947452839	1054.31189940533	2.81270703274645e-231	1.5370037580443e-227
Bra026370	8.02551526949816	4.99770478914678	1017.98256479115	2.21584322641862e-223	1.03786931235125e-219
Bra032339	8.00585941094772	5.00719977494123	962.16046183639	3.01561892635373e-211	1.2359137217295e-207
Bra034506	9.12475870388372	3.70687225409995	889.384426883425	1.99312214294403e-195	7.26094396674512e-192
Bra035436	8.82628827180946	4.63432998814186	849.80380988984	8.0208149909044e-187	2.62978461106783e-183
Bra024707	6.62607416988788	4.8318243332925	792.148717633175	2.74841122263838e-174	8.19201443242223e-171
Bra038573	8.29391540641214	3.92109550485059	790.446789117373	6.44342330581516e-174	1.76050433273135e-170
Bra015167	8.60668009794413	4.66822640987155	770.306066464802	1.54244399739348e-169	3.89016241096461e-166
Bra100851	8.08877346983627	3.48678468371619	762.860919192378	6.41218586248736e-168	1.50168812766695e-164
Bra018070	7.59165373136722	4.89485043703775	758.154525481213	6.76591937151826e-167	1.47889465622646e-163
Bra008560	7.84749221721764	4.5947396799684	748.667994861372	7.81677820904734e-165	1.60180441962522e-161
Bra102540	8.43791670941039	3.56327256413601	746.113887251067	2.80792374686569e-164	5.41549387579326e-161
Bra000759	8.74836782726684	3.86046962466292	744.526572781671	6.21623601171509e-164	1.1322873895339e-160
Bra038893	7.93394841634113	4.00414572802773	712.296338598181	6.33603334019762e-157	1.09336592171084e-153
Bra012295	5.36576259789045	4.58255654504788	703.354697053527	5.57449727925876e-155	9.13855211475285e-152
Bra033118	8.43622518197146	4.48487774096929	699.181088795463	4.50590390523122e-154	7.03500339718172e-151
Bra012555	7.74357673331911	3.48077584926092	684.369326724604	7.4946509983788e-151	1.11694146492657e-147
Bra024251	8.28260433811969	4.33157991954513	680.709578658395	4.68399647199831e-150	6.67713879684386e-147
Bra014820	7.90421514683782	3.96487491090934	673.599506107599	1.64748914736374e-148	2.25067611144229e-145
Bra002037	7.84332291268114	3.68809905534187	668.132625581323	2.54510022370535e-147	3.33784804138509e-144
Bra037612	7.25932346353786	3.36686270923903	665.78983748069	8.22612585580733e-147	1.0373461093629e-143
Bra039518	8.47028991421337	3.09314938126687	649.083944672345	3.53456006120244e-143	4.29213410098683e-140
Bra038578	9.1075979221324	3.85597798843934	646.753082869482	1.13567577517461e-142	1.32983577288036e-139
Bra100441	7.88529883919658	3.63495721911254	638.079219135502	8.74345009799915e-141	9.88522408148614e-138
Bra005976	8.02495796455713	3.31798989219139	636.957982494799	1.53298179695156e-140	1.67539580588836e-137
Bra009785	8.63429115802161	6.42443897132461	620.825828876085	4.94472988770292e-137	5.22976963961663e-134
Bra102539	6.86064786913316	4.25066476819334	618.556165995391	1.54094230003706e-136	1.57883984972859e-133
Bra036100	8.36063614332155	2.98809308067653	615.029912329386	9.01031738778112e-136	8.95215988464181e-133
