"","rowID","IMB211_SHADE_1_INTERNODE","IMB211_SHADE_1_LEAF","IMB211_SHADE_1_ROOT","IMB211_SHADE_1_SEEDLING","IMB211_SHADE_1_SILIQUE","IMB211_SHADE_2_INTERNODE","IMB211_SHADE_2_LEAF","IMB211_SHADE_2_ROOT","IMB211_SHADE_2_SEEDLING","IMB211_SHADE_2_SILIQUE","IMB211_SHADE_3_LEAF","IMB211_SHADE_3_ROOT","IMB211_SHADE_3_SEEDLING","IMB211_SHADE_3_SILIQUE","IMB211_SUN_1_INTERNODE","IMB211_SUN_1_LEAF","IMB211_SUN_1_ROOT","IMB211_SUN_1_SEEDLING","IMB211_SUN_1_SILIQUE","IMB211_SUN_2_INTERNODE","IMB211_SUN_2_LEAF","IMB211_SUN_2_ROOT","IMB211_SUN_2_SEEDLING","IMB211_SUN_2_SILIQUE","IMB211_SUN_3_INTERNODE","IMB211_SUN_3_LEAF","IMB211_SUN_3_ROOT","IMB211_SUN_3_SEEDLING","IMB211_SUN_3_SILIQUE","R500_SHADE_1_INTERNODE","R500_SHADE_1_LEAF","R500_SHADE_1_ROOT","R500_SHADE_1_SEEDLING","R500_SHADE_1_SILIQUE","R500_SHADE_2_INTERNODE","R500_SHADE_2_LEAF","R500_SHADE_2_ROOT","R500_SHADE_2_SEEDLING","R500_SHADE_2_SILIQUE","R500_SHADE_3_INTERNODE","R500_SHADE_3_LEAF","R500_SHADE_3_ROOT","R500_SHADE_3_SEEDLING","R500_SHADE_3_SILIQUE","R500_SUN_1_INTERNODE","R500_SUN_1_LEAF","R500_SUN_1_ROOT","R500_SUN_1_SEEDLING","R500_SUN_1_SILIQUE","R500_SUN_2_INTERNODE","R500_SUN_2_LEAF","R500_SUN_2_ROOT","R500_SUN_2_SEEDLING","R500_SUN_2_SILIQUE","R500_SUN_3_INTERNODE","R500_SUN_3_LEAF","R500_SUN_3_ROOT","R500_SUN_3_SEEDLING","R500_SUN_3_SILIQUE","Likelihood","ordering","FDR.DE","FWER.DE"
"Bra037120",23507,137,100,129,119,147,70,266,117,79,116,0,116,191,195,122,9,137,149,93,94,176,2618,180,120,129,245,85,191,114,150,21,116,130,226,132,54,200,147,140,145,59,206,86,99,0,75,170,177,102,149,43,244,113,87,110,72,195,169,214,0.999999986262026,"2>1",1.37379742026766e-08,1.37379742026766e-08
"Bra003148",2091,2,2,3,2,2,0,8,7,0,11,0,4,4,3,0,0,4,1,1,3,1,1887,1,2,0,4,1,10,1,0,2,3,0,5,4,2,1,4,1,1,1,2,0,1,0,2,6,2,1,1,0,13,2,2,2,2,7,1,14,0.999999969172365,"2>1",2.22828046569923e-08,4.45656088698954e-08
"Bra016733",11033,28,25,12,8,47,13,47,90,1,181,0,21,21,46,28,0,20,20,64,9,64,5084,27,71,42,51,36,75,281,22,6,38,5,36,26,4,32,16,13,24,2,57,21,18,0,6,32,7,81,11,0,27,17,90,5,5,30,20,51,0.999999926626802,"2>1",3.93129358326287e-08,1.1793880383415e-07
"Bra025520",16402,83,37,91,65,88,32,69,211,52,92,0,98,96,94,54,6,98,62,39,38,51,3518,100,36,69,76,68,115,55,118,9,81,44,116,117,44,122,111,54,108,20,133,68,51,0,61,94,92,66,96,35,149,82,74,65,23,136,112,90,0.999999890841372,"2>1",5.67743589086067e-08,2.27097419092104e-07
"Bra034592",22017,116,90,199,196,152,51,194,298,219,200,0,181,307,147,133,10,278,196,129,103,185,5498,173,205,125,199,121,975,159,242,101,242,156,242,118,144,239,124,116,235,77,401,119,88,0,105,246,128,87,118,31,210,98,98,90,48,211,181,293,0.999999858058639,"2>1",7.38077592377095e-08,3.69038747338735e-07
"Bra038641",24388,137,50,113,60,917,70,196,69,35,61,0,121,87,1474,111,25,95,77,114,129,77,38,48,79,182,127,54,70,44,64,58,95,30,1669,61,13,104,46,734,38,30,160,23,893,0,40,103,62,38,93,27,117,52,153,79,48,113,53,122,0.999999490605392,"1>2",1.4640556739165e-07,8.78433167539328e-07
"Bra000340",226,28,5,5,20,5,6,19,3,8,80,0,15,31,8,18,3,9,11,12,43,6,4,22,17,33,7,22,19,11,1008,7,22,51,29,88,2,25,22,13,1183,6,24,10,5,0,8,20,16,14,78,7,45,5,22,40,6,10,23,51,0.999998922973316,"1>2",2.79351441169671e-07,1.95545890535609e-06
"Bra036392",23075,43,8,31,9,134,27,49,30,15,10,0,51,14,181,19,10,36,23,11,38,23,14,13,10,51,33,9,23,16,17,17,41,19,912,42,5,50,11,306,17,9,49,8,1112,0,15,45,23,8,51,10,50,11,23,34,7,40,28,125,0.999998893242763,"1>2",3.82777165686132e-07,3.06221397838868e-06
"Bra028972",18595,12,12,15,30,47,4,13,106,22,77,0,9,73,37,7,1,7,68,5,12,17,2678,255,26,14,34,13,54,20,44,8,46,23,66,18,2,15,13,41,41,3,8,56,10,0,1,1,6,176,8,0,21,27,124,8,5,2,15,233,0.999998648652312,"2>1",4.90396112606817e-07,4.4135575282267e-06
"Bra033900",21616,6,10,6,3,12,1,12,10,1,18,0,13,6,28,3,1,8,4,5,5,8,1069,3,0,4,16,10,7,5,3,3,2,5,23,5,0,8,3,7,0,5,7,2,2,0,0,10,7,7,2,0,14,3,3,3,3,8,11,13,0.999998351712088,"2>1",6.06185292539863e-07,6.06183816531658e-06
